agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-0-9,65.09508490282884, 14.753802377278937, 11.0471, 1593, 0.6372, 14.739681382902136, 4.008600000000001, 886, 0.3544
qfa-1-9,54.642241499574205, 14.067894960493835, 10.928200000000004, 1626, 0.6504, 14.056639485554648, 3.130999999999999, 854, 0.3416
qfa-3-0,57.74480929132767, 13.059033231866131, 10.897300000000003, 1648, 0.6592, 13.042767204548033, 3.424199999999999, 886, 0.3544
qfa-0-0,54.76670709015074, 13.264814514998726, 10.926099999999998, 1598, 0.6392, 13.252582624394842, 3.185599999999999, 892, 0.3568
qfa-0-1,21.062778406343693, 13.466215537857272, 10.917999999999997, 1625, 0.65, 13.454902570753836, 2.987000000000001, 891, 0.3564
qfa-0-10,45.511355532191544, 14.874063929983222, 10.792300000000001, 1614, 0.6456, 14.864465409607254, 3.6283, 886, 0.3544
qfa-0-11,34.182060532560556, 14.975987845976775, 11.025799999999998, 1610, 0.644, 14.962227419498332, 2.9319, 822, 0.3288
qfa-0-12,37.11849393397767, 15.089762807991935, 10.686900000000003, 1621, 0.6484, 15.07984006416207, 3.6951, 876, 0.3504
qfa-0-13,43.118755927610756, 15.199584342332425, 10.5559, 1606, 0.6424, 15.191706275803261, 3.9918999999999993, 904, 0.3616
qfa-0-14,47.15721598520164, 15.30220846962909, 10.602599999999997, 1588, 0.6352, 15.292065345274693, 3.1942000000000013, 873, 0.3492
qfa-0-15,53.24460398986703, 15.38710559147827, 10.420700000000002, 1605, 0.642, 15.381848628415549, 3.8275, 899, 0.3596
qfa-0-16,38.20382486662246, 15.47887835976268, 11.286599999999996, 1638, 0.6552, 15.46541631995195, 3.1830000000000003, 871, 0.3484
qfa-0-17,53.59551372693174, 15.559813605491849, 10.816099999999997, 1622, 0.6488, 15.549133522269234, 3.789900000000001, 905, 0.362
qfa-0-18,36.480695967330945, 15.637445555268116, 10.927500000000004, 1564, 0.6256, 15.62708400351246, 2.7563000000000004, 825, 0.33
qfa-0-19,35.10876249924012, 15.706926570469994, 11.066899999999997, 1571, 0.6284, 15.699269444658002, 3.7797, 875, 0.35
qfa-0-2,27.579152588110972, 13.665098376102879, 10.629300000000006, 1621, 0.6484, 13.653772274491011, 2.9969000000000006, 857, 0.3428
qfa-0-20,32.49401964739813, 15.789913970380564, 10.6361, 1618, 0.6472, 15.780895965646334, 3.282, 879, 0.3516
qfa-0-21,53.426041207386554, 15.868858791359328, 10.732399999999998, 1601, 0.6404, 15.855655472231986, 2.8358, 854, 0.3416
qfa-0-22,35.92412219889694, 15.931873433247373, 10.968499999999997, 1638, 0.6552, 15.921781573409469, 3.276299999999998, 866, 0.3464
qfa-0-23,36.136639285418354, 15.998680167956724, 10.7299, 1619, 0.6476, 15.988242407309315, 2.9767999999999994, 863, 0.3452
qfa-0-24,39.53501922339199, 16.066738316870637, 11.2885, 1607, 0.6428, 16.058416595121354, 3.637400000000001, 882, 0.3528
qfa-0-25,57.51295746389273, 16.129242298074544, 10.8829, 1605, 0.642, 16.12030691294716, 3.2361, 889, 0.3556
qfa-0-26,55.90177324981411, 16.1955008953181, 11.049399999999999, 1641, 0.6564, 16.186872928693923, 2.827100000000001, 862, 0.3448
qfa-0-27,44.57263127914207, 16.261898767449637, 10.3565, 1533, 0.6132, 16.25273354190001, 3.1208000000000005, 840, 0.336
qfa-0-28,46.590083547864, 16.318295278098354, 10.428599999999994, 1565, 0.626, 16.314378312578757, 3.4928000000000003, 892, 0.3568
qfa-0-3,28.249996294141905, 13.844273270764933, 11.022299999999998, 1665, 0.666, 13.830495855681642, 3.1869000000000005, 865, 0.346
qfa-0-4,34.08168443052124, 14.02194365879485, 10.943200000000004, 1607, 0.6428, 14.008256228957187, 2.823000000000001, 836, 0.3344
qfa-0-5,41.55635935445045, 14.177824060268597, 10.997600000000002, 1567, 0.6268, 14.162887830876125, 3.1885999999999997, 883, 0.3532
qfa-0-6,45.859624602208434, 14.331053400335056, 11.248700000000003, 1635, 0.654, 14.3149094913076, 3.0364999999999993, 863, 0.3452
qfa-0-7,48.53984684343308, 14.47999126965248, 10.997699999999995, 1661, 0.6644, 14.46071218903347, 3.1882000000000006, 884, 0.3536
qfa-0-8,43.06288516837941, 14.630062937582675, 10.770099999999998, 1610, 0.644, 14.616671030638617, 3.0228999999999995, 869, 0.3476
qfa-2-0,52.75466141435514, 12.62400278156998, 10.608599999999997, 1569, 0.6276, 12.609900173966109, 3.5551, 943, 0.3772
qfa-2-1,40.27475769101355, 12.819483503261132, 10.4441, 1581, 0.6324, 12.807234270319837, 3.3118999999999987, 891, 0.3564
qfa-2-10,52.085451154835866, 14.0788652750865, 10.6498, 1574, 0.6296, 14.071187219302796, 3.3025999999999986, 863, 0.3452
qfa-2-11,43.58842130825741, 14.18273479162818, 11.057900000000002, 1652, 0.6608, 14.169465075028668, 3.3870000000000005, 894, 0.3576
qfa-2-12,41.74910331244143, 14.291745443570344, 10.680399999999999, 1631, 0.6524, 14.282496970584095, 3.2276000000000007, 897, 0.3588
qfa-2-13,39.903536076264984, 14.394818172275297, 10.7238, 1616, 0.6464, 14.383025654780464, 3.5575999999999994, 895, 0.358
qfa-2-14,32.35839906695875, 14.497209975368175, 10.826799999999999, 1600, 0.64, 14.484688504338068, 2.9661, 867, 0.3468
