agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-0-0,29.608019804281874,19.894601554104653,49.42,72,0.72,18.900445033337835,2.3500000000000005,29,0.29
qfa-0-1,28.84453141894547,12.167803691724457,43.760000000000005,63,0.63,10.704802666232652,18.31,33,0.33
qfa-0-10,37.40500584320234,2.8241070548276763,47.309999999999995,72,0.72,2.5277480293021144,7.710000000000001,35,0.35
qfa-0-100,49.15851601807466,0.2950202281747134,42.85,62,0.62,0.24143956097358227,11.469999999999999,42,0.42
qfa-0-1000,60.34014265467832,0.0304962134635889,45.029999999999994,66,0.66,0.03213432541472131,16.419999999999998,37,0.37
qfa-0-1001,47.15793720198428,0.029451813044588847,46.720000000000006,74,0.74,0.028050505838167906,18.26,45,0.45
qfa-0-1002,58.55102983100623,0.03324634486158818,42.11,61,0.61,0.03488336057573133,16.0,30,0.3
qfa-0-1003,45.93136454065717,0.023654806415856537,39.029999999999994,67,0.67,0.023849937016420263,8.78,29,0.29
qfa-0-1004,36.78560204581269,0.03126429066285662,44.11,64,0.64,0.026805244590476573,20.580000000000002,37,0.37
qfa-0-1005,43.4824745510102,0.02929020992895957,45.35000000000001,60,0.6,0.025666699890282113,8.040000000000001,34,0.34
qfa-0-1006,44.22014377873083,0.02843655955523864,41.660000000000004,62,0.62,0.029984762662615388,24.45,39,0.39
qfa-0-1007,63.423030893180155,0.023581720205632574,50.23,76,0.76,0.023133680953942023,20.98,40,0.4
qfa-0-1008,51.99910613617823,0.037084619303110675,49.08,76,0.76,0.03292801333323965,14.229999999999999,31,0.31
qfa-0-1009,42.886215199401306,0.03199141468225068,51.65,72,0.72,0.029682003719734774,19.759999999999998,37,0.37
qfa-0-101,56.87245067932363,0.3033627646677642,40.34,64,0.64,0.26860830185319073,15.189999999999998,29,0.29
qfa-0-1010,51.791375834812335,0.031538775119186985,36.269999999999996,59,0.59,0.03029340141745416,20.4,40,0.4
qfa-0-1011,51.94032621218,0.02867149365600239,45.93,61,0.61,0.031229393348186592,15.64,32,0.32
qfa-0-1012,46.60718078794936,0.02813034522543817,36.949999999999996,61,0.61,0.029245237773415755,13.910000000000002,34,0.34
qfa-0-1013,20.239303164625557,0.031197319707883066,39.260000000000005,64,0.64,0.02712097781236466,18.369999999999997,42,0.42
qfa-0-1015,36.914073587827446,0.029912070898567577,43.55,67,0.67,0.02827626269078353,21.869999999999997,38,0.38
qfa-0-1016,43.3811749089264,0.03010574497432943,38.519999999999996,60,0.6,0.02931956622590746,17.110000000000003,28,0.28
qfa-0-1017,42.17491409898889,0.0326495929752427,35.11,58,0.58,0.030228840100369116,17.78,38,0.38
qfa-0-1018,38.11915179423236,0.031398974539706484,34.07,63,0.63,0.03337781627411879,4.6,36,0.36
qfa-0-1019,14.652577014760315,0.03381316203237411,45.83,66,0.66,0.029811905040970133,3.3999999999999995,25,0.25
qfa-0-102,42.761544794720166,0.32710934823039417,40.269999999999996,58,0.58,0.29585897733858296,3.3900000000000006,34,0.34
qfa-0-1020,36.67985416487096,0.030139566303566585,45.84,61,0.61,0.02490994940878415,1.2700000000000002,29,0.29
qfa-0-1021,36.04386769931878,0.025561298898586014,36.910000000000004,55,0.55,0.026853965450029566,21.34,40,0.4
qfa-0-1022,38.923289853334886,0.02540837030340847,35.599999999999994,61,0.61,0.027564245900476132,3.8899999999999997,26,0.26
qfa-0-1023,18.95921284503735,0.029922500440154088,38.190000000000005,58,0.58,0.03050421850228322,21.2,43,0.43
qfa-0-1024,21.9143335745788,0.026724329098520565,36.059999999999995,61,0.61,0.026427219885900095,16.439999999999998,46,0.46
qfa-0-1025,40.873295821572924,0.03162940981572041,42.010000000000005,63,0.63,0.031047194268777244,20.84,42,0.42
qfa-0-1026,37.44706027803651,0.029134770364309493,45.82000000000001,73,0.73,0.029412239844995015,10.529999999999998,28,0.28
qfa-0-1027,42.51598186857751,0.02973597463987591,39.94,57,0.57,0.02537717521926655,15.89,37,0.37
qfa-0-1028,26.747285321118458,0.033549461395237665,44.160000000000004,66,0.66,0.030637023985742317,14.430000000000001,38,0.38
qfa-0-1029,24.947610387368048,0.02853529600454176,49.160000000000004,67,0.67,0.02620676257093064,10.15,28,0.28
qfa-0-103,60.7405067927696,0.31299665778157376,40.730000000000004,60,0.6,0.28409743799220655,18.03,38,0.38
qfa-0-1030,60.80924853561268,0.03010058074011082,37.39999999999999,63,0.63,0.028334505975393432,10.05,35,0.35
qfa-0-1031,49.73591862155021,0.030859814554260963,35.00000000000001,58,0.58,0.029036484043888637,5.24,24,0.24
qfa-0-1033,52.033220382434976,0.034222825861817865,43.34,62,0.62,0.031677066982363854,10.370000000000001,36,0.36
qfa-0-1034,63.873616852123696,0.025837736397361356,36.41,54,0.54,0.023406280220470643,10.459999999999999,33,0.33
qfa-0-1035,55.31156558667754,0.025820300754900372,39.45,55,0.55,0.02716342292799524,13.930000000000001,39,0.39
qfa-0-1036,15.282512588288894,0.0326626874962642,42.769999999999996,66,0.66,0.03149859446697188,9.859999999999998,32,0.32
qfa-0-1037,18.734976517234948,0.03639510189560752,42.12,63,0.63,0.032669028091291526,6.9,32,0.32
qfa-0-1038,47.76547588265104,0.031091558056373036,42.980000000000004,65,0.65,0.02844682053939051,5.83,37,0.37
qfa-0-1039,25.14282614840268,0.0289677422255481,39.67,63,0.63,0.02793419332902819,1.9700000000000006,23,0.23
qfa-0-104,41.3649055509288,0.3043550988791376,52.9,71,0.71,0.3072911055014186,23.07,50,0.5
qfa-0-1040,34.447955242566344,0.026464762800772746,45.85999999999999,69,0.69,0.025189833899122382,0.9700000000000001,33,0.33
qfa-0-1041,47.38143006772207,0.028360566532168518,44.45,60,0.6,0.02774498416577626,9.98,29,0.29
qfa-0-1042,53.00381253054064,0.031693962521143,40.25,69,0.69,0.02894302398798442,16.85,36,0.36
qfa-0-1043,30.752755480741353,0.03509873588426104,38.809999999999995,65,0.65,0.03388110319452127,18.46,36,0.36
qfa-0-1044,33.450906284777126,0.03103916847123809,50.02,70,0.7,0.028626485106423315,8.15,35,0.35
qfa-0-1045,37.97249482329701,0.033606821308176736,36.76,61,0.61,0.029580854390439094,12.100000000000001,33,0.33
qfa-0-1046,37.85328651413143,0.027379279370361408,36.17,63,0.63,0.026435633146268532,9.07,30,0.3
qfa-0-1047,17.265737755929752,0.02833084412580522,33.13,57,0.57,0.024089101272578864,3.0200000000000005,27,0.27
qfa-0-1048,31.40680919236452,0.027235158136644472,37.14000000000001,63,0.63,0.02943112170447862,20.92,38,0.38
qfa-0-1049,23.385957226420395,0.03247733264753723,43.62,61,0.61,0.03250401461779573,13.37,34,0.34
qfa-0-105,50.54658887035639,0.25260655801404586,50.19,77,0.77,0.22392917988631184,13.15,34,0.34
qfa-0-1051,47.014821524271,0.0236157750660601,42.989999999999995,61,0.61,0.023454100321737954,14.87,33,0.33
qfa-0-1052,27.928445020550008,0.029194957467912175,44.279999999999994,78,0.78,0.02945385826372086,0.6299999999999999,31,0.31
qfa-0-1053,57.74258981049892,0.028018051244780812,50.84,72,0.72,0.026932315637258786,16.110000000000003,36,0.36
qfa-0-1054,60.280932730593584,0.03360430879816183,48.61,70,0.7,0.029176070319602915,18.220000000000002,31,0.31
qfa-0-1055,24.63831398493501,0.031655014694018366,47.5,66,0.66,0.028065419590728426,1.7100000000000002,29,0.29
qfa-0-1056,29.57873546453165,0.023817803812357253,41.78999999999999,67,0.67,0.02461486335871667,23.270000000000003,45,0.45
qfa-0-1057,56.0259392993248,0.028999323824180367,41.74,74,0.74,0.02563869849142053,10.92,30,0.3
qfa-0-1058,34.49439178946443,0.03242838749807118,39.52,65,0.65,0.030452148711524858,17.840000000000003,35,0.35
qfa-0-1059,40.67832545740706,0.0321882304270885,36.800000000000004,64,0.64,0.0337278396248867,17.0,38,0.38
qfa-0-106,37.6533173771987,0.30937447487222747,42.8,68,0.68,0.28199406507328617,17.69,32,0.32
qfa-0-1060,37.82714115208857,0.030920062081107702,38.93,59,0.59,0.028918482710821935,9.02,33,0.33
qfa-0-1061,39.252162789997485,0.029938669752952812,41.38,62,0.62,0.026860551592009056,9.34,38,0.38
qfa-0-1062,42.4074837683202,0.030821405668774542,46.550000000000004,65,0.65,0.027827993263273502,17.529999999999998,39,0.39
qfa-0-1063,38.2926148520552,0.02602920408741836,42.550000000000004,60,0.6,0.025996398982546604,12.2,27,0.27
qfa-0-1064,41.39399836976146,0.029767969309986375,44.24,67,0.67,0.025772120470133525,14.66,38,0.38
qfa-0-1065,38.63270923367806,0.024381528554744587,44.95,68,0.68,0.020530526688511706,6.320000000000002,27,0.27
qfa-0-1066,54.043859158508276,0.032236700725163235,37.040000000000006,64,0.64,0.027235979767949337,-0.9400000000000007,33,0.33
qfa-0-1067,71.56572165990106,0.024156142113592773,49.02,67,0.67,0.018474225026487635,8.870000000000001,34,0.34
qfa-0-1068,38.52042240651313,0.03149797092199165,39.69,69,0.69,0.02889154927736809,11.84,32,0.32
qfa-0-107,44.5994463705351,0.2777952472871433,44.84,67,0.67,0.23887023984124292,12.209999999999999,34,0.34
qfa-0-1070,58.609115361804484,0.028411355798465633,43.38,66,0.66,0.026973628891335266,13.6,37,0.37
qfa-0-1071,56.21733251602558,0.030384687285946767,42.5,71,0.71,0.02733527105899433,16.490000000000002,35,0.35
qfa-0-1072,25.56437732894344,0.03655076607611353,52.85999999999999,64,0.64,0.03329820340478225,15.000000000000004,39,0.39
qfa-0-1073,35.33235404718851,0.031957077439725125,49.97,74,0.74,0.030351807219148996,16.130000000000003,28,0.28
qfa-0-1074,42.75410687652418,0.0303178018525203,43.760000000000005,63,0.63,0.030650765024073916,19.910000000000004,38,0.38
qfa-0-1075,57.08485894481061,0.029246207799093964,44.06,71,0.71,0.02616297824256858,7.590000000000001,29,0.29
qfa-0-1076,58.953883922010284,0.028714025023938196,46.169999999999995,71,0.71,0.02992752124491735,13.830000000000002,40,0.4
qfa-0-1077,49.536670521769565,0.0294248616155256,41.67,63,0.63,0.023687981238750228,6.18,32,0.32
qfa-0-1078,49.77976115480451,0.030926924362999132,38.120000000000005,59,0.59,0.029100472285049066,14.15,33,0.33
qfa-0-1079,25.407864581514673,0.02907683826280385,49.85,69,0.69,0.027353199196679494,9.0,33,0.33
qfa-0-108,47.35065787507953,0.27008489711150535,45.010000000000005,68,0.68,0.2489166824237506,13.9,29,0.29
