agent,convergence,rand_rpr,rand_ppg,rand_nwins,rand_winp,heur_rpr,heur_ppg,heur_nwins,heur_winp
qfa-0-3265,51.193214467942965,0.009636362824357361,36.89,57,0.57,0.010396444181248066,17.839999999999996,32,0.32
qfa-0-3913,38.39455761005824,0.009190713888303574,48.769999999999996,70,0.7,0.008236346688478637,16.75,37,0.37
qfa-0-4237,43.58520306697432,0.007108695157144009,47.059999999999995,66,0.66,0.005694095975781474,9.53,33,0.33
qfa-0-4561,38.924571002822915,0.007464164428776732,44.400000000000006,63,0.63,0.007577248589292994,23.059999999999995,46,0.46
qfa-0-4886,50.18415887397747,0.0062216495628154445,42.56000000000001,69,0.69,0.00616558993546727,14.35,39,0.39
qfa-0-5209,51.82295678657123,0.00708151413693516,52.160000000000004,66,0.66,0.00657429066689118,19.46,44,0.44
qfa-0-5533,50.38484766237569,0.005427655982998341,45.36,59,0.59,0.004909114055933426,17.830000000000002,32,0.32
qfa-0-5858,39.89216382483148,0.005450529232638982,50.68000000000001,71,0.71,0.005009728293608216,21.919999999999998,31,0.31
qfa-0-6181,55.752312101938195,0.005811954367774396,36.95,60,0.6,0.005153006521193991,2.43,30,0.3
qfa-0-6505,66.00074212919847,0.005041025231666876,44.489999999999995,70,0.7,0.004426270727056651,10.889999999999999,34,0.34
qfa-0-7153,31.685445792635065,0.005166460918152357,47.35,67,0.67,0.004544070850093685,8.430000000000001,40,0.4
qfa-0-7478,61.62012971074538,0.003943115795128741,44.32000000000001,63,0.63,0.003644306627654212,22.53,34,0.34
qfa-0-7801,38.83972747061377,0.0041146487385908224,44.05,70,0.7,0.0038648676339307847,9.779999999999998,34,0.34
qfa-0-8125,61.66670364448411,0.004169883258594071,47.269999999999996,74,0.74,0.003436248727786402,3.7399999999999998,32,0.32
qfa-0-3000,57.89251711102858,0.009935323215336706,48.43,64,0.64,0.0077138893619055765,9.039999999999997,32,0.32
qfa-0-3001,20.115884053396993,0.01230765719131118,44.46,60,0.6,0.011483048105324077,10.440000000000001,37,0.37
qfa-0-3002,44.127518677595944,0.012042846410981783,40.769999999999996,62,0.62,0.011117009778416394,21.46,34,0.34
qfa-0-3003,23.834065215533588,0.010453267229507348,45.28000000000001,61,0.61,0.009952395686141228,17.220000000000002,34,0.34
qfa-0-3004,57.741693252807856,0.009833260937853189,40.050000000000004,59,0.59,0.007888595270729817,1.7700000000000007,25,0.25
qfa-0-3005,60.2026499055501,0.010179897758196338,39.919999999999995,62,0.62,0.00934142413809725,7.65,31,0.31
qfa-0-3006,49.196863831321906,0.009739324293631921,41.720000000000006,53,0.53,0.009848027766945835,11.610000000000003,39,0.39
qfa-0-3007,35.681817937297936,0.010536479026697231,42.19,60,0.6,0.009571587372436113,4.76,23,0.23
qfa-0-3008,37.07822106415862,0.009949429964124786,49.64999999999999,67,0.67,0.00887754341537823,15.810000000000002,35,0.35
